city,2009-03,2009-06,2009-09,2009-12,2010-03,2010-06,2010-09,2010-12,2011-03,2011-06,2011-09,2011-12,2012-03,2012-06,2012-09,2012-12,2013-03,2013-06,2013-09,2013-12,2014-03,2014-06,2014-09,2014-12,2015-03,2015-06,2015-09,2015-12,2016-03,2016-06,2016-09,2016-12,2017-03,2017-06,2017-09,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03
上海市,100.0,100.43,99.0,111.46,141.96,145.73,149.0,127.57,143.82,153.97,230.27,231.72,234.56,226.84,232.99,208.44,221.32,205.72,195.04,196.35,190.2,189.44,204.93,204.82,193.62,200.16,217.47,216.87,237.07,248.15,256.37,260.27,271.25,268.55,387.92,425.12,437.44,458.72,455.55,494.76,517.16,511.56,522.76,511.56,513.02,513.21,514.54,505.24,490.27,518.37,480.51
东莞市,,,,,100.0,90.19,79.65,87.56,91.77,106.3,121.16,175.26,180.89,164.41,163.39,182.61,196.18,185.57,145.01,146.52,146.42,178.87,191.61,185.04,178.16,171.6,140.0,154.67,146.05,128.41,111.2,138.11,125.29,112.71,133.91,128.99,128.99,154.61,159.03,191.43,194.38,197.33,179.66,185.55,186.32,202.11,175.16,200.93,177.01,205.58,254.65
东营市,,,,,,,,,100.0,76.09,76.26,92.1,92.98,89.53,90.58,95.78,102.41,105.33,113.66,111.73,109.54,119.54,115.75,103.55,98.03,95.14,100.82,101.18,99.61,89.51,91.11,103.54,111.35,119.79,80.19,119.62,127.97,110.35,102.0,117.45,123.63,117.45,120.54,132.9,127.24,151.72,133.36,140.0,125.72,141.3,127.76
中山市,,,,,100.0,134.24,131.92,196.96,202.68,231.05,225.05,237.89,234.17,254.03,269.89,247.39,279.8,315.27,285.51,272.91,258.16,292.35,280.32,286.59,288.83,245.39,225.84,269.85,259.78,273.72,260.06,243.92,230.1,253.69,183.67,286.22,315.26,296.59,324.94,366.42,359.51,359.51,352.6,387.17,393.53,375.76,411.02,372.93,381.16,420.71,412.07
临沂市,,,,,,,,,100.0,105.31,112.43,117.26,124.63,119.22,121.48,129.87,151.7,123.53,154.73,156.5,149.76,184.65,166.35,148.13,131.16,148.17,154.43,165.18,152.69,148.99,137.98,152.46,114.28,122.38,111.35,159.41,145.9,185.08,189.13,211.65,193.64,220.66,247.68,166.62,199.85,177.78,224.21,189.85,226.55,241.82,232.18
乌鲁木齐市,,,,,,,,,100.0,95.45,97.61,98.2,112.24,111.15,110.35,115.02,131.1,152.04,162.02,164.23,151.23,149.85,138.16,98.68,110.57,97.1,105.62,104.73,99.93,90.64,115.27,120.07,120.41,111.15,156.08,187.78,192.84,187.78,180.56,195.0,197.41,154.08,207.05,195.01,255.58,161.86,221.28,144.98,201.94,221.73,198.31
九江市,,,,,100.0,92.81,94.63,117.62,150.65,154.31,150.21,180.89,185.07,174.41,174.52,191.53,183.6,224.67,254.74,252.14,258.77,280.87,246.92,234.58,172.52,156.04,163.6,180.81,172.0,172.12,176.94,158.23,180.77,143.91,82.53,145.4,149.72,249.05,220.74,220.74,259.13,230.34,239.94,235.14,229.53,273.82,270.84,273.34,233.27,218.78,265.14
佛山市,,,,,100.0,125.91,141.5,148.66,157.7,157.62,166.18,207.91,191.95,195.98,169.6,212.03,221.18,230.1,229.15,159.86,194.06,193.09,203.08,148.48,167.0,153.83,131.59,139.2,127.24,133.25,117.14,116.05,101.52,106.01,141.18,143.27,149.09,171.22,151.42,166.95,170.83,172.77,166.95,165.01,180.15,189.76,169.42,169.85,157.17,188.58,195.49
保定市,,,,,,,,,100.0,115.94,121.87,139.43,124.73,127.01,122.53,148.49,142.7,152.82,138.42,126.21,154.46,158.54,144.18,142.27,135.1,139.66,147.49,152.67,153.52,169.2,159.79,163.35,186.8,162.54,149.38,223.03,231.61,207.31,219.22,247.81,257.34,243.04,243.04,209.68,217.92,229.5,218.63,237.26,258.94,260.18,259.66
兰州市,,,,,,,,,100.0,92.85,84.5,99.83,98.9,124.88,94.38,129.67,128.81,176.51,161.15,154.78,140.84,184.81,162.81,94.83,71.34,70.04,76.46,124.89,121.31,128.58,107.15,141.67,153.4,139.39,185.21,206.89,187.4,186.9,178.24,198.23,199.9,209.9,216.56,179.91,185.79,199.78,215.31,240.2,232.3,230.37,183.21
包头市,,,,,,,,,100.0,140.35,135.23,165.65,170.51,155.45,158.99,158.06,171.34,203.78,173.69,185.2,149.31,162.26,149.51,105.82,120.09,102.98,95.86,100.91,91.01,92.68,111.93,118.04,130.13,116.29,70.33,114.65,134.45,171.97,173.71,163.29,180.66,177.19,177.19,166.77,169.45,169.38,187.38,170.91,186.41,163.06,171.82
北京市,100.0,107.45,127.97,152.44,169.93,196.93,206.25,214.86,227.82,244.82,267.9,309.18,336.53,315.88,377.58,356.98,350.68,326.93,352.16,364.89,389.11,368.18,379.62,351.92,338.31,309.96,307.6,310.9,325.94,334.04,351.68,371.06,335.2,357.44,433.27,444.74,444.07,488.48,475.47,540.51,576.39,601.06,585.36,585.36,592.25,625.15,645.83,605.12,607.63,631.85,613.41
南京市,,,,,100.0,109.86,116.9,120.16,111.11,109.88,128.48,126.26,136.92,144.9,129.28,129.87,150.58,146.02,152.86,155.23,140.03,142.23,152.96,137.77,122.52,121.57,124.15,121.97,123.99,131.83,137.92,150.65,139.88,127.16,171.45,185.55,187.77,200.55,199.99,209.25,212.95,216.65,224.06,214.8,314.64,328.05,349.55,356.85,305.98,318.41,315.91
南充市,,,,,,,,,100.0,111.67,101.6,110.87,115.79,117.19,114.08,120.96,135.81,154.98,160.25,158.35,163.13,161.51,166.65,130.63,135.05,113.15,95.68,105.07,146.95,107.97,124.18,118.85,103.64,94.93,53.7,89.55,102.58,170.15,157.4,168.26,143.84,168.27,195.41,116.7,159.74,149.51,152.55,126.44,149.18,251.76,155.53
南宁市,100.0,139.68,184.44,198.7,241.26,322.69,311.54,321.68,351.04,331.52,294.55,399.06,375.89,357.23,395.14,461.77,418.59,417.03,410.11,429.94,426.22,432.39,398.66,352.69,299.19,273.64,296.07,282.52,246.54,244.48,235.9,229.17,223.5,211.84,282.45,288.16,283.28,328.87,303.91,371.75,401.6,428.74,407.03,409.74,451.85,350.01,447.59,435.79,381.66,352.41,338.76
南昌市,100.0,87.1,95.5,104.53,106.81,136.34,128.84,137.75,143.05,148.29,163.27,157.35,171.38,163.28,145.77,160.53,180.02,190.7,223.07,154.39,174.81,218.27,211.49,184.29,184.99,181.74,158.26,162.5,184.45,182.29,174.58,202.79,211.17,159.55,202.83,175.94,176.89,184.46,167.12,157.66,173.43,176.58,179.73,189.19,201.39,194.07,200.41,179.91,201.98,209.93,213.24
南通市,,,,,100.0,84.99,89.33,78.12,81.75,94.26,98.15,106.23,103.42,107.39,94.89,104.68,103.93,103.32,98.74,97.84,105.11,119.01,126.05,113.56,110.06,111.63,119.66,115.53,109.68,98.29,112.19,112.03,98.8,96.62,123.36,126.33,121.56,129.9,121.16,139.04,141.03,125.14,133.09,129.12,123.68,123.38,128.88,112.21,125.44,133.68,116.24
厦门市,,,,,100.0,124.45,110.07,118.83,109.45,107.68,126.42,135.09,139.88,140.45,156.16,162.51,166.4,170.62,168.02,166.68,169.59,176.42,181.61,168.27,164.78,150.62,142.39,144.46,132.39,141.76,151.57,153.33,134.65,128.56,192.61,241.95,236.66,239.3,260.01,260.01,251.2,275.44,310.7,282.05,222.38,238.95,249.42,251.54,238.89,225.16,227.67
台州市,,,,,100.0,105.68,95.38,123.81,116.64,125.35,130.49,141.86,122.46,121.61,123.69,136.1,136.45,125.21,165.35,161.4,143.3,137.93,132.64,97.4,98.36,125.25,121.27,121.03,114.69,108.46,113.48,105.34,119.09,110.74,67.85,117.14,116.46,117.82,136.21,129.4,127.13,136.21,147.56,145.29,153.85,136.03,157.98,131.65,125.34,124.5,127.13
合肥市,100.0,91.52,97.16,118.7,142.11,180.52,181.96,193.56,168.3,178.89,232.04,264.08,242.14,280.34,266.46,218.66,216.11,241.12,244.27,269.2,275.1,296.97,299.0,232.15,261.04,219.82,226.52,243.48,244.85,255.77,259.3,279.67,228.9,199.83,327.35,325.51,418.1,368.91,376.14,424.36,434.0,414.71,438.82,424.35,428.21,412.59,442.97,474.12,459.41,436.12,448.66
吉林市,,,,,100.0,109.05,112.8,126.5,136.68,150.83,164.07,161.41,152.95,168.59,166.16,202.08,227.96,189.28,169.1,199.9,201.73,202.47,200.41,122.72,147.3,158.39,124.36,133.24,150.8,147.17,158.82,174.37,161.45,163.3,100.17,195.04,177.42,203.84,218.1,218.1,209.71,209.71,197.13,197.13,191.05,193.06,206.15,197.26,183.46,192.9,185.27
呼和浩特市,,,,,100.0,99.76,110.41,135.24,138.02,143.37,158.65,177.65,155.9,157.47,140.13,170.85,160.06,174.38,146.18,197.6,187.56,215.06,209.21,140.75,174.12,142.15,117.47,141.98,138.28,104.86,140.06,146.51,149.78,142.91,117.2,181.37,230.1,316.73,270.71,275.22,284.24,243.63,311.3,234.6,267.62,275.79,320.09,249.35,296.54,276.6,288.33
哈尔滨市,100.0,111.44,128.69,141.96,142.76,159.19,147.04,141.01,150.23,151.21,158.16,171.78,193.19,172.84,167.1,183.56,178.72,178.88,192.18,190.18,211.9,229.7,225.35,185.41,178.42,178.96,159.61,171.71,169.07,161.46,147.18,152.29,145.82,134.16,167.46,193.57,184.53,193.57,175.74,208.38,165.7,178.25,155.65,160.67,172.17,187.21,180.83,169.28,178.17,177.87,166.37
唐山市,,,,,100.0,97.12,102.25,107.98,122.09,126.42,112.67,125.85,95.41,100.57,98.6,111.79,106.25,88.87,102.97,83.24,97.48,87.01,124.7,74.24,100.23,81.93,64.61,68.57,77.61,73.62,73.2,83.85,82.99,79.44,62.17,102.97,98.32,90.76,89.21,110.54,110.54,106.66,100.84,93.08,90.89,91.53,100.88,111.14,93.47,97.29,93.62
嘉兴市,,,,,100.0,99.8,100.67,103.41,98.12,114.57,106.77,117.98,108.84,110.73,115.7,117.2,113.74,114.93,120.1,134.97,126.36,121.02,131.11,110.18,112.33,112.4,123.33,113.63,102.38,107.85,102.77,106.74,112.87,129.93,136.6,149.2,159.98,152.52,160.26,168.55,174.08,168.55,187.89,160.26,176.87,159.3,151.59,166.54,134.98,152.69,154.93
大连市,,,,,100.0,110.94,108.09,111.82,116.7,116.86,129.96,127.54,134.0,127.42,123.75,129.92,134.52,120.51,123.36,128.78,132.92,138.03,132.07,122.74,114.55,112.55,123.32,126.74,122.47,112.71,130.14,121.93,103.91,112.48,141.28,141.32,123.36,125.16,137.74,149.72,153.71,153.71,155.71,143.73,141.99,146.5,149.53,155.04,144.4,143.38,147.73
天津市,100.0,126.44,125.46,114.75,149.43,169.71,170.59,178.67,207.21,186.27,232.15,268.0,261.58,204.31,206.72,231.44,241.4,243.6,248.87,315.07,310.28,306.3,324.13,307.69,308.54,262.0,227.1,241.19,251.39,272.7,287.47,304.8,305.9,303.2,348.64,361.52,363.72,368.13,389.44,433.53,411.49,426.19,429.86,477.62,504.11,520.2,502.27,492.24,519.39,480.48,438.56
太原市,,,,,100.0,130.03,137.51,130.3,168.6,167.02,146.28,172.84,209.66,189.99,165.13,175.67,200.98,214.56,210.4,258.87,266.78,283.31,258.68,199.26,194.56,213.84,190.89,195.02,186.77,201.41,193.69,201.4,198.49,189.08,241.78,259.47,263.3,251.81,245.75,204.26,245.75,121.28,245.75,245.75,261.58,204.36,226.06,248.94,332.33,299.84,207.29
宁波市,,,,,100.0,119.2,111.2,103.97,114.76,116.98,126.92,135.59,131.31,135.24,138.63,129.35,136.0,141.51,125.85,132.89,134.67,139.05,127.66,115.86,115.18,107.47,102.51,103.91,94.83,97.45,95.27,92.03,86.2,77.72,101.44,112.74,107.94,116.1,118.34,132.73,105.54,118.33,115.13,124.72,117.41,123.95,121.02,129.29,126.17,129.67,127.03
安庆市,,,,,100.0,99.57,93.57,105.33,119.64,126.93,130.57,137.3,140.29,128.15,136.91,138.02,149.18,146.8,159.16,188.47,181.26,197.04,192.63,176.72,180.15,172.29,157.34,165.04,169.43,177.46,151.66,147.93,174.44,180.61,103.58,143.87,173.03,239.13,246.26,259.22,252.74,220.34,220.34,220.34,231.75,241.15,257.29,230.39,247.5,283.53,271.67
常州市,100.0,113.23,174.16,113.1,134.38,129.76,155.5,156.45,166.71,200.02,190.21,219.89,228.13,191.38,197.43,174.28,194.02,194.22,195.85,203.02,187.2,196.06,189.9,159.92,179.44,196.06,169.28,169.26,168.3,167.94,172.86,181.96,195.41,192.77,176.93,178.26,187.44,205.79,200.98,200.98,200.98,200.98,214.09,214.09,193.82,206.45,212.39,206.4,193.16,176.34,243.45
平顶山市,,,,,,,,,100.0,98.69,82.4,91.49,101.24,97.78,117.42,166.38,159.24,168.29,143.69,199.09,178.5,171.37,189.16,43.72,90.27,81.55,113.3,110.05,72.68,69.54,87.04,90.19,106.36,90.49,67.81,83.82,100.43,112.29,129.16,123.89,142.34,155.52,142.34,144.98,123.31,137.91,150.75,162.69,153.99,150.7,155.5
广州市,100.0,75.24,92.22,82.59,132.7,170.59,152.73,151.44,146.88,177.19,278.18,436.31,397.76,399.01,349.13,425.68,437.91,382.65,385.8,367.12,345.98,324.76,305.36,246.98,261.28,233.64,216.75,214.18,228.67,234.65,219.56,226.88,237.35,201.46,162.87,153.53,145.99,176.16,179.57,201.12,210.1,211.9,208.31,213.7,532.83,468.41,444.71,480.43,378.14,379.94,441.61
徐州市,,,,,100.0,123.93,124.63,137.36,149.89,152.96,169.12,183.7,160.48,175.52,140.85,161.83,166.78,165.38,183.88,173.37,176.5,171.59,182.8,134.49,148.24,155.96,184.04,169.14,138.41,140.51,128.79,172.55,150.3,163.26,164.4,207.73,196.26,207.73,199.66,229.4,250.64,276.13,267.63,250.64,276.34,261.09,240.78,231.82,238.57,280.5,277.57
惠州市,,,,,,,,,100.0,110.98,114.05,136.71,134.93,125.91,101.53,85.37,95.26,111.28,151.16,127.37,145.28,148.39,122.81,85.0,66.6,80.74,97.95,112.72,112.31,113.25,110.47,132.28,109.23,93.41,135.42,159.88,158.99,156.31,169.71,172.69,166.74,166.74,184.61,193.54,179.19,191.28,201.94,179.07,196.16,203.13,191.67
成都市,100.0,91.72,117.15,98.79,132.4,187.27,188.4,210.04,203.54,208.33,248.74,273.6,287.58,276.77,270.76,273.13,328.25,340.02,311.49,310.0,353.98,333.44,329.49,291.77,281.01,239.54,219.16,215.45,220.61,215.19,230.91,233.3,205.38,171.52,226.01,264.11,240.19,251.67,255.18,306.22,338.12,376.4,366.83,360.45,355.38,352.29,508.05,568.53,487.06,514.56,561.36
扬州市,100.0,122.88,130.68,150.77,175.32,177.12,192.49,208.08,211.55,218.36,216.46,218.33,215.84,204.0,198.91,213.69,191.2,211.14,222.23,234.0,251.53,248.85,232.65,217.69,212.09,208.75,225.42,225.52,243.82,222.52,220.04,246.38,250.31,217.43,239.58,271.65,242.32,279.36,282.96,282.96,303.54,267.53,303.54,334.41,320.06,344.45,341.77,275.35,330.66,304.63,333.9
无锡市,100.0,92.25,124.38,120.93,117.96,136.84,143.54,138.67,139.74,149.75,149.63,165.98,156.46,142.41,148.98,140.61,152.76,129.14,118.36,134.9,145.04,174.53,146.91,146.22,127.35,126.33,133.68,140.22,138.42,136.92,142.37,140.88,138.41,110.77,144.9,179.27,186.88,188.57,191.67,205.76,208.58,228.31,217.04,242.41,229.58,219.38,219.77,225.1,193.19,217.4,221.85
日照市,,,,,,,,,100.0,117.45,116.39,122.9,120.36,136.03,131.44,139.32,136.16,152.37,162.98,191.15,169.68,172.16,171.65,133.76,173.33,164.66,182.25,173.0,165.75,148.4,147.0,157.7,179.22,135.32,133.27,150.73,168.26,177.61,194.75,167.48,175.27,186.95,183.06,179.17,181.97,173.83,173.48,200.32,197.01,185.32,161.09
昆明市,,,,,100.0,108.54,106.99,133.06,149.95,149.94,163.95,192.84,178.54,180.7,157.78,177.38,177.34,208.29,202.05,192.22,174.02,182.03,172.25,158.93,139.94,131.62,114.22,121.08,118.9,113.6,107.57,102.9,93.68,99.13,144.71,148.97,140.14,140.14,139.35,157.01,172.71,158.97,153.08,155.04,170.09,160.57,193.68,199.59,172.08,165.31,195.26
杭州市,100.0,78.58,77.61,123.9,146.12,136.39,144.53,147.9,166.9,162.17,200.14,203.68,204.47,190.03,155.32,173.99,216.66,198.29,181.34,172.7,169.73,158.09,153.59,135.88,137.03,134.3,139.05,134.1,131.18,120.23,119.76,140.06,173.97,128.92,143.69,168.35,152.86,164.74,172.14,196.24,211.73,196.24,197.96,218.62,273.88,267.58,256.18,271.9,268.51,251.78,248.51
桂林市,,,,,,,,,100.0,88.23,124.08,137.34,172.27,140.28,117.43,129.18,165.31,157.69,155.5,159.91,149.22,193.29,156.32,148.26,116.77,106.64,92.47,101.93,99.72,90.67,104.74,86.83,80.46,73.17,48.72,76.24,75.7,83.22,102.01,91.27,119.9,71.58,105.58,96.63,93.09,80.67,105.97,105.99,92.75,104.97,120.32
